timestep,value
0.000000,-0.575740
1.000000,-0.595488
2.000000,-0.614489
3.000000,-0.633121
4.000000,-0.651068
5.000000,-0.668693
6.000000,-0.688557
7.000000,-0.707953
8.000000,-0.726486
9.000000,-0.744354
10.000000,-0.761523
11.000000,-0.778080
12.000000,-0.793709
13.000000,-0.808602
14.000000,-0.822903
15.000000,-0.838358
16.000000,-0.852794
17.000000,-0.866212
18.000000,-0.878758
19.000000,-0.890946
20.000000,-0.902094
21.000000,-0.912401
22.000000,-0.923032
23.000000,-0.932758
24.000000,-0.941163
25.000000,-0.948740
26.000000,-0.955717
27.000000,-0.962247
28.000000,-0.967398
29.000000,-0.971769
30.000000,-0.975038
31.000000,-0.977584
32.000000,-0.979425
33.000000,-0.980080
34.000000,-0.979631
35.000000,-0.977683
36.000000,-0.975316
37.000000,-0.971154
38.000000,-0.965642
39.000000,-0.959657
40.000000,-0.952170
41.000000,-0.942699
42.000000,-0.932536
43.000000,-0.920445
44.000000,-0.906978
45.000000,-0.892731
46.000000,-0.876142
47.000000,-0.858019
48.000000,-0.837652
49.000000,-0.815649
50.000000,-0.791847
51.000000,-0.766430
52.000000,-0.737428
53.000000,-0.707396
54.000000,-0.674679
55.000000,-0.641038
56.000000,-0.608093
57.000000,-0.571616
58.000000,-0.536529
59.000000,-0.502636
60.000000,-0.473014
61.000000,-0.443926
62.000000,-0.419965
63.000000,-0.394423
64.000000,-0.372907
65.000000,-0.354149
66.000000,-0.340807
67.000000,-0.327048
68.000000,-0.318394
69.000000,-0.310853
70.000000,-0.308711
71.000000,-0.311316
72.000000,-0.319923
73.000000,-0.330039
74.000000,-0.342982
75.000000,-0.360182
76.000000,-0.380375
77.000000,-0.401723
78.000000,-0.433209
79.000000,-0.464491
80.000000,-0.496287
81.000000,-0.528146
82.000000,-0.560108
83.000000,-0.590900
84.000000,-0.625338
85.000000,-0.658418
86.000000,-0.690316
87.000000,-0.724029
88.000000,-0.756104
89.000000,-0.786996
90.000000,-0.817769
91.000000,-0.846413
92.000000,-0.875050
93.000000,-0.901562
94.000000,-0.929484
95.000000,-0.956892
96.000000,-0.979694
97.000000,-1.003184
98.000000,-1.024511
99.000000,-1.046403
100.000000,-1.066640
101.000000,-1.083578
102.000000,-1.101090
103.000000,-1.118622
104.000000,-1.129208
105.000000,-1.140828
106.000000,-1.150531
107.000000,-1.159082
108.000000,-1.165428
109.000000,-1.168186
110.000000,-1.170814
111.000000,-1.169794
112.000000,-1.165662
113.000000,-1.158886
114.000000,-1.151055
115.000000,-1.138159
116.000000,-1.121946
117.000000,-1.104584
118.000000,-1.083308
119.000000,-1.057207
120.000000,-1.027712
121.000000,-0.994662
122.000000,-0.959747
123.000000,-0.918983
124.000000,-0.873548
125.000000,-0.824024
126.000000,-0.770898
127.000000,-0.710464
128.000000,-0.637608
129.000000,-0.560081
130.000000,-0.476117
131.000000,-0.384631
132.000000,-0.291500
133.000000,-0.195641
134.000000,-0.094841
135.000000,0.008263
136.000000,0.119316
137.000000,0.232852
138.000000,0.338894
139.000000,0.433336
140.000000,0.519217
141.000000,0.594866
142.000000,0.655467
143.000000,0.705830
144.000000,0.735555
145.000000,0.743049
146.000000,0.733539
147.000000,0.709712
148.000000,0.685378
149.000000,0.647867
150.000000,0.612039
151.000000,0.577827
152.000000,0.547209
153.000000,0.518774
154.000000,0.491566
155.000000,0.477787
156.000000,0.470799
157.000000,0.476538
158.000000,0.493489
159.000000,0.515625
160.000000,0.542433
161.000000,0.574462
162.000000,0.610164
163.000000,0.650539
164.000000,0.692772
165.000000,0.734003
166.000000,0.777192
167.000000,0.821538
168.000000,0.870488
169.000000,0.922327
170.000000,0.973951
171.000000,1.025940
172.000000,1.079240
173.000000,1.134230
174.000000,1.190477
175.000000,1.249928
176.000000,1.310317
177.000000,1.368712
178.000000,1.429946
179.000000,1.490999
180.000000,1.548839
181.000000,1.608804
182.000000,1.668818
183.000000,1.728768
184.000000,1.789672
185.000000,1.849951
186.000000,1.911257
187.000000,1.971302
188.000000,2.031033
189.000000,2.088163
190.000000,2.140494
191.000000,2.191847
192.000000,2.239523
193.000000,2.283663
194.000000,2.325627
195.000000,2.364535
196.000000,2.399802
197.000000,2.431452
198.000000,2.459246
199.000000,2.482956
200.000000,2.501808
201.000000,2.510171
202.000000,2.514292
203.000000,2.509905
204.000000,2.503001
205.000000,2.489768
206.000000,2.471984
207.000000,2.449196
208.000000,2.424778
209.000000,2.395000
210.000000,2.362040
211.000000,2.325533
212.000000,2.285482
213.000000,2.241621
214.000000,2.196694
215.000000,2.149715
216.000000,2.100048
217.000000,2.048851
218.000000,1.992562
219.000000,1.934532
220.000000,1.872050
221.000000,1.806467
222.000000,1.739131
223.000000,1.668901
224.000000,1.594417
225.000000,1.517312
226.000000,1.435406
227.000000,1.352568
228.000000,1.267755
229.000000,1.182367
230.000000,1.096890
231.000000,1.007207
232.000000,0.919576
233.000000,0.832774
234.000000,0.740651
235.000000,0.645055
236.000000,0.547546
237.000000,0.448972
238.000000,0.350195
239.000000,0.252874
240.000000,0.154737
241.000000,0.059766
242.000000,-0.033193
243.000000,-0.125791
244.000000,-0.215024
245.000000,-0.303482
246.000000,-0.390759
247.000000,-0.477673
248.000000,-0.560025
249.000000,-0.638220
250.000000,-0.715109
251.000000,-0.783134
252.000000,-0.840377
253.000000,-0.885878
254.000000,-0.928951
255.000000,-0.959901
256.000000,-0.985678
257.000000,-1.006962
258.000000,-1.023528
259.000000,-1.030702
260.000000,-1.035567
261.000000,-1.037069
262.000000,-1.033657
263.000000,-1.028679
264.000000,-1.019715
265.000000,-1.005795
266.000000,-0.990416
267.000000,-0.971571
268.000000,-0.949132
269.000000,-0.925745
270.000000,-0.898511
271.000000,-0.869116
272.000000,-0.835834
273.000000,-0.801039
274.000000,-0.761862
275.000000,-0.720597
276.000000,-0.677910
277.000000,-0.634144
278.000000,-0.588049
279.000000,-0.538110
280.000000,-0.486342
281.000000,-0.431984
282.000000,-0.375345
283.000000,-0.317143
284.000000,-0.257250
285.000000,-0.191255
286.000000,-0.124382
287.000000,-0.051982
288.000000,0.021334
289.000000,0.102318
290.000000,0.184610
291.000000,0.267797
292.000000,0.356163
293.000000,0.445989
294.000000,0.538242
295.000000,0.628645
296.000000,0.724695
297.000000,0.821555
298.000000,0.920273
299.000000,1.019934
300.000000,1.119973
301.000000,1.225257
302.000000,1.330960
303.000000,1.431570
304.000000,1.532652
305.000000,1.634006
306.000000,1.734229
307.000000,1.834335
308.000000,1.933939
309.000000,2.034096
310.000000,2.133692
311.000000,2.231723
312.000000,2.330022
313.000000,2.427101
314.000000,2.526614
315.000000,2.622995
316.000000,2.720642
317.000000,2.815826
318.000000,2.909251
319.000000,2.994972
320.000000,3.073565
321.000000,3.151072
322.000000,3.217470
323.000000,3.279328
324.000000,3.338099
325.000000,3.390459
326.000000,3.438121
327.000000,3.481086
328.000000,3.518715
329.000000,3.552786
330.000000,3.583292
331.000000,3.610573
332.000000,3.632757
333.000000,3.652158
334.000000,3.666852
335.000000,3.679450
336.000000,3.687208
337.000000,3.692341
338.000000,3.695569
339.000000,3.695888
340.000000,3.694019
341.000000,3.688084
342.000000,3.679549
343.000000,3.667953
344.000000,3.654240
345.000000,3.637892
346.000000,3.617703
347.000000,3.597143
348.000000,3.572747
349.000000,3.546163
350.000000,3.520156
351.000000,3.494613
352.000000,3.467842
353.000000,3.438089
354.000000,3.407939
355.000000,3.378367
356.000000,3.347553
357.000000,3.316319
358.000000,3.282594
359.000000,3.249705
360.000000,3.215071
361.000000,3.180494
362.000000,3.143242
363.000000,3.105004
364.000000,3.063975
365.000000,3.020252
366.000000,2.975700
367.000000,2.929229
368.000000,2.879750
369.000000,2.829089
370.000000,2.774693
371.000000,2.716554
372.000000,2.658435
373.000000,2.597503
374.000000,2.536985
375.000000,2.475212
376.000000,2.412101
377.000000,2.353043
378.000000,2.300122
379.000000,2.251984
380.000000,2.212707
381.000000,2.178794
382.000000,2.148727
383.000000,2.124145
384.000000,2.104076
385.000000,2.089312
386.000000,2.076660
387.000000,2.067740
388.000000,2.062438
389.000000,2.060836
390.000000,2.061257
391.000000,2.064608
392.000000,2.069763
393.000000,2.079809
394.000000,2.089966
395.000000,2.101259
396.000000,2.115427
397.000000,2.131755
398.000000,2.148339
399.000000,2.164774
400.000000,2.181362
401.000000,2.201017
402.000000,2.223776
403.000000,2.246457
404.000000,2.268417
405.000000,2.289729
406.000000,2.315274
407.000000,2.340020
408.000000,2.362729
409.000000,2.385409
410.000000,2.408080
411.000000,2.430735
412.000000,2.453563
413.000000,2.475146
414.000000,2.494547
415.000000,2.515055
416.000000,2.535459
417.000000,2.555894
418.000000,2.572519
419.000000,2.588154
420.000000,2.602499
421.000000,2.615520
422.000000,2.627407
423.000000,2.638790
424.000000,2.648717
425.000000,2.655931
426.000000,2.661157
427.000000,2.663593
428.000000,2.664764
429.000000,2.665457
430.000000,2.662969
431.000000,2.656874
432.000000,2.646998
433.000000,2.634566
434.000000,2.621469
435.000000,2.605153
436.000000,2.585039
437.000000,2.559672
438.000000,2.531346
439.000000,2.499970
440.000000,2.463470
441.000000,2.424779
442.000000,2.383180
443.000000,2.337187
444.000000,2.285426
445.000000,2.229162
446.000000,2.169580
447.000000,2.105324
448.000000,2.040500
449.000000,1.967303
450.000000,1.894840
451.000000,1.820069
452.000000,1.747908
453.000000,1.675121
454.000000,1.601385
455.000000,1.527816
456.000000,1.456151
457.000000,1.382748
458.000000,1.307783
459.000000,1.232809
460.000000,1.158612
461.000000,1.082724
462.000000,1.009113
463.000000,0.934191
464.000000,0.857439
465.000000,0.782381
466.000000,0.705850
467.000000,0.628175
468.000000,0.549318
469.000000,0.471902
470.000000,0.390022
471.000000,0.302779
472.000000,0.218328
473.000000,0.135714
474.000000,0.045641
475.000000,-0.044377
476.000000,-0.137083
477.000000,-0.235954
478.000000,-0.333559
479.000000,-0.430440
480.000000,-0.524745
481.000000,-0.619029
482.000000,-0.711809
483.000000,-0.804318
484.000000,-0.896601
485.000000,-0.986809
486.000000,-1.078530
487.000000,-1.171259
488.000000,-1.260860
489.000000,-1.349090
490.000000,-1.439088
491.000000,-1.526522
492.000000,-1.609800
493.000000,-1.690941
494.000000,-1.770207
495.000000,-1.850165
496.000000,-1.924788
497.000000,-1.998393
498.000000,-2.070235
499.000000,-2.139842
500.000000,-2.207592
501.000000,-2.272039
502.000000,-2.334996
503.000000,-2.394460
504.000000,-2.452192
505.000000,-2.505803
506.000000,-2.554033
507.000000,-2.600048
508.000000,-2.639907
509.000000,-2.674080
510.000000,-2.701515
511.000000,-2.719133
512.000000,-2.730936
513.000000,-2.739345
514.000000,-2.746896
515.000000,-2.751299
516.000000,-2.750594
517.000000,-2.744839
518.000000,-2.737772
519.000000,-2.728386
520.000000,-2.718428
521.000000,-2.704041
522.000000,-2.689012
523.000000,-2.672607
524.000000,-2.653234
525.000000,-2.634332
526.000000,-2.614457
527.000000,-2.593401
528.000000,-2.568032
529.000000,-2.542716
530.000000,-2.519857
531.000000,-2.496072
532.000000,-2.474819
533.000000,-2.455477
534.000000,-2.438428
535.000000,-2.435796
536.000000,-2.439909
537.000000,-2.447198
538.000000,-2.460529
539.000000,-2.473745
540.000000,-2.485859
541.000000,-2.502965
542.000000,-2.519471
543.000000,-2.537587
544.000000,-2.557255
545.000000,-2.579295
546.000000,-2.601538
547.000000,-2.620631
548.000000,-2.637562
549.000000,-2.658268
550.000000,-2.677102
551.000000,-2.695164
552.000000,-2.713638
553.000000,-2.731844
554.000000,-2.748051
555.000000,-2.761664
556.000000,-2.771104
557.000000,-2.781054
558.000000,-2.787886
559.000000,-2.794740
560.000000,-2.797048
561.000000,-2.796730
562.000000,-2.797926
563.000000,-2.799487
564.000000,-2.794800
565.000000,-2.792704
566.000000,-2.796859
567.000000,-2.805462
568.000000,-2.818976
569.000000,-2.834261
570.000000,-2.846517
571.000000,-2.862282
572.000000,-2.872779
573.000000,-2.881965
574.000000,-2.891012
575.000000,-2.900904
576.000000,-2.911081
577.000000,-2.922209
578.000000,-2.926471
579.000000,-2.931595
580.000000,-2.932783
581.000000,-2.933404
582.000000,-2.930204
583.000000,-2.923232
584.000000,-2.910484
585.000000,-2.897628
586.000000,-2.882296
587.000000,-2.868427
588.000000,-2.857022
589.000000,-2.845035
590.000000,-2.839894
591.000000,-2.842979
592.000000,-2.847760
593.000000,-2.853372
594.000000,-2.860308
595.000000,-2.867014
596.000000,-2.871980
597.000000,-2.876625
598.000000,-2.879435
599.000000,-2.878392
600.000000,-2.880019
601.000000,-2.873119
602.000000,-2.864307
603.000000,-2.849924
604.000000,-2.838857
605.000000,-2.823701
606.000000,-2.814485
607.000000,-2.822114
608.000000,-2.830205
609.000000,-2.838086
610.000000,-2.849427
611.000000,-2.860222
612.000000,-2.878970
613.000000,-2.894904
614.000000,-2.905868
615.000000,-2.915166
616.000000,-2.932011
617.000000,-2.946116
618.000000,-2.948077
619.000000,-2.938147
620.000000,-2.920572
621.000000,-2.902464
622.000000,-2.886251
623.000000,-2.858962
624.000000,-2.835438
625.000000,-2.828857
626.000000,-2.846420
627.000000,-2.867710
628.000000,-2.875279
629.000000,-2.900960
630.000000,-2.933711
631.000000,-2.938740
632.000000,-2.917839
633.000000,-2.878568
634.000000,-2.866537
635.000000,-2.887394
636.000000,-2.955963
637.000000,-2.926903
638.000000,-2.850313
639.000000,-2.871601
640.000000,-2.909445
641.000000,-2.905039
642.000000,-2.875369
643.000000,-2.886746
644.000000,-2.847412
645.000000,-2.863040
646.000000,-2.937034
647.000000,-2.936097
648.000000,-2.851690
649.000000,-2.847969
650.000000,-2.860558
651.000000,-2.893497
652.000000,-2.967882
653.000000,-2.932908
654.000000,-2.818272
655.000000,-2.830113
656.000000,-2.960737
657.000000,-2.950905
658.000000,-2.852318
659.000000,-2.853240
660.000000,-2.885054
661.000000,-2.895860
662.000000,-2.925127
663.000000,-2.905563
664.000000,-2.822029
665.000000,-2.857596
666.000000,-2.974218
667.000000,-2.952745
668.000000,-2.846120
669.000000,-2.858437
670.000000,-2.910618
671.000000,-2.907329
672.000000,-2.853893
673.000000,-2.865207
674.000000,-2.945642
675.000000,-2.929571
676.000000,-2.839380
677.000000,-2.850670
678.000000,-2.925127
679.000000,-2.928616
680.000000,-2.914012
681.000000,-2.895407
682.000000,-2.842810
683.000000,-2.871237
684.000000,-2.965368
685.000000,-2.937448
686.000000,-2.815883
687.000000,-2.852558
688.000000,-2.969948
689.000000,-2.934258
690.000000,-2.824180
691.000000,-2.848843
692.000000,-2.968305
693.000000,-2.955730
694.000000,-2.821129
695.000000,-2.838208
696.000000,-2.938727
697.000000,-2.933948
698.000000,-2.889436
699.000000,-2.889358
700.000000,-2.926877
701.000000,-2.918119
702.000000,-2.838855
703.000000,-2.860501
704.000000,-2.945605
705.000000,-2.943025
706.000000,-2.873551
707.000000,-2.875856
708.000000,-2.924988
709.000000,-2.914828
710.000000,-2.833264
711.000000,-2.861943
712.000000,-2.952198
713.000000,-2.932168
714.000000,-2.832276
715.000000,-2.855276
716.000000,-2.948100
717.000000,-2.945267
718.000000,-2.867359
719.000000,-2.865375
720.000000,-2.880931
721.000000,-2.895380
722.000000,-2.908656
723.000000,-2.899037
724.000000,-2.864888
725.000000,-2.884024
726.000000,-2.953825
727.000000,-2.925201
728.000000,-2.851373
729.000000,-2.874733
730.000000,-2.901741
731.000000,-2.903595
732.000000,-2.869308
733.000000,-2.883470
734.000000,-2.929286
735.000000,-2.907327
736.000000,-2.820620
737.000000,-2.852457
738.000000,-2.968845
739.000000,-2.935564
740.000000,-2.814797
741.000000,-2.849712
742.000000,-2.949203
743.000000,-2.939532
744.000000,-2.809639
745.000000,-2.832297
746.000000,-2.966799
747.000000,-2.938115
748.000000,-2.814400
749.000000,-2.848483
750.000000,-2.956714
751.000000,-2.938954
752.000000,-2.816378
753.000000,-2.837166
754.000000,-2.963836
755.000000,-2.957629
756.000000,-2.847735
757.000000,-2.860311
758.000000,-2.915441
759.000000,-2.913621
760.000000,-2.855694
761.000000,-2.865813
762.000000,-2.946145
763.000000,-2.926326
764.000000,-2.829103
765.000000,-2.856832
766.000000,-2.944708
767.000000,-2.944064
768.000000,-2.866163
769.000000,-2.866213
770.000000,-2.893984
771.000000,-2.896924
772.000000,-2.854114
773.000000,-2.865589
774.000000,-2.943591
775.000000,-2.923760
776.000000,-2.823330
777.000000,-2.861843
778.000000,-2.976289
779.000000,-2.938048
780.000000,-2.829081
781.000000,-2.843691
782.000000,-2.972754
783.000000,-2.960528
784.000000,-2.847858
785.000000,-2.860584
786.000000,-2.916601
787.000000,-2.914876
788.000000,-2.854805
789.000000,-2.865702
790.000000,-2.946944
791.000000,-2.926371
792.000000,-2.827321
